# fi,prior,high,flat,low
1.441441441441441429e-01,1.000000000000000000e+00,7.084798568767153824e-03,4.530956157452397520e-02,1.664898807656798596e-01
1.451451451451451491e-01,1.000000000000000000e+00,7.227479594967040240e-03,4.585767054472902893e-02,1.677660827106370878e-01
1.461461461461461553e-01,1.000000000000000000e+00,7.369841314510602696e-03,4.642833655968058720e-02,1.690088201328970585e-01
1.471471471471471337e-01,1.000000000000000000e+00,7.518054758351545332e-03,4.698898191672505609e-02,1.702752278758687121e-01
1.481481481481481399e-01,1.000000000000000000e+00,7.669281523061664309e-03,4.756668752119926763e-02,1.715741982806905097e-01
1.491491491491491461e-01,1.000000000000000000e+00,7.822967828517941868e-03,4.814357075740387237e-02,1.728782413837224308e-01
1.501501501501501523e-01,1.000000000000000000e+00,7.979423613291954792e-03,4.872687285004806412e-02,1.741697461574731598e-01
1.511511511511511585e-01,1.000000000000000000e+00,8.146510851309235815e-03,4.934527354527406401e-02,1.755371853456742792e-01
1.521521521521521647e-01,1.000000000000000000e+00,8.309470150782906350e-03,4.995173665257966050e-02,1.768489052678553775e-01
1.531531531531531432e-01,1.000000000000000000e+00,8.467085198452543524e-03,5.052513625462618646e-02,1.781697011498607486e-01
1.541541541541541493e-01,1.000000000000000000e+00,8.627592171735981239e-03,5.112088793918560109e-02,1.793943397132145012e-01
1.551551551551551555e-01,1.000000000000000000e+00,8.793775731935781284e-03,5.172801744527975171e-02,1.807085675276822734e-01
1.561561561561561617e-01,1.000000000000000000e+00,8.963205139076177788e-03,5.233852452447814579e-02,1.820014287842867673e-01
1.571571571571571679e-01,1.000000000000000000e+00,9.140231535792251241e-03,5.295878275008056996e-02,1.833172362752886475e-01
1.581581581581581464e-01,1.000000000000000000e+00,9.311023745350215444e-03,5.359821338860253082e-02,1.846344378088252136e-01
1.591591591591591526e-01,1.000000000000000000e+00,9.484900532525526382e-03,5.423242357147121245e-02,1.859418250255955307e-01
1.601601601601601588e-01,1.000000000000000000e+00,9.663124688646286195e-03,5.484300260332111016e-02,1.872792582535737216e-01
1.611611611611611650e-01,1.000000000000000000e+00,9.848861804037061310e-03,5.548812535907779453e-02,1.886352087486360685e-01
1.621621621621621712e-01,1.000000000000000000e+00,1.002714164545417432e-02,5.611956086549438338e-02,1.900116021740215211e-01
1.631631631631631496e-01,1.000000000000000000e+00,1.021527309459224070e-02,5.675849782929352771e-02,1.913521431916665461e-01
1.641641641641641558e-01,1.000000000000000000e+00,1.039938877938938362e-02,5.735881147638561411e-02,1.926772702590225927e-01
1.651651651651651620e-01,1.000000000000000000e+00,1.059512764640522901e-02,5.800519525837121576e-02,1.940504445912989151e-01
1.661661661661661682e-01,1.000000000000000000e+00,1.079372714159748323e-02,5.867676597152317319e-02,1.954158679573958501e-01
1.671671671671671744e-01,1.000000000000000000e+00,1.099430039490260219e-02,5.934429525182752241e-02,1.967676297786403183e-01
1.681681681681681528e-01,1.000000000000000000e+00,1.119352908786898360e-02,6.001681701371475164e-02,1.982036930665264374e-01
1.691691691691691590e-01,1.000000000000000000e+00,1.139449025023367770e-02,6.065259601831921726e-02,1.995460260332165559e-01
1.701701701701701652e-01,1.000000000000000000e+00,1.159903964156292454e-02,6.130435302491465954e-02,2.009083632383188989e-01
1.711711711711711714e-01,1.000000000000000000e+00,1.180582517531561688e-02,6.196014547318692139e-02,2.023141347553948644e-01
1.721721721721721776e-01,1.000000000000000000e+00,1.200948865536056315e-02,6.263404004175363027e-02,2.036636330014896801e-01
1.731731731731731838e-01,1.000000000000000000e+00,1.222268683913569666e-02,6.331077217862823847e-02,2.050942730650621992e-01
1.741741741741741623e-01,1.000000000000000000e+00,1.244720991227552497e-02,6.401480641021174700e-02,2.065150421933235891e-01
1.751751751751751685e-01,1.000000000000000000e+00,1.266325913588604336e-02,6.468104508590688528e-02,2.078647896726234234e-01
1.761761761761761746e-01,1.000000000000000000e+00,1.288298295508811218e-02,6.541612198900857711e-02,2.093079933271922988e-01
1.771771771771771808e-01,1.000000000000000000e+00,1.310781940438008643e-02,6.615177365790539388e-02,2.107480300950547170e-01
1.781781781781781870e-01,1.000000000000000000e+00,1.333466642417264515e-02,6.685416766503714248e-02,2.121701987506147136e-01
1.791791791791791655e-01,1.000000000000000000e+00,1.355953667011394054e-02,6.754595922552894538e-02,2.135642223874739953e-01
1.801801801801801717e-01,1.000000000000000000e+00,1.378729419275510383e-02,6.822214104331893181e-02,2.149854527297337392e-01
1.811811811811811779e-01,1.000000000000000000e+00,1.401785037683845117e-02,6.893943026452062361e-02,2.163937646980474416e-01
1.821821821821821841e-01,1.000000000000000000e+00,1.425359746469135984e-02,6.968747268413240381e-02,2.178629897123316728e-01
1.831831831831831903e-01,1.000000000000000000e+00,1.450153769599432131e-02,7.042791692330580000e-02,2.193136927299155770e-01
1.841841841841841965e-01,1.000000000000000000e+00,1.474454294120696764e-02,7.114920582773381907e-02,2.207536200159956885e-01
1.851851851851851749e-01,1.000000000000000000e+00,1.499877402996057860e-02,7.192172782842633227e-02,2.222383477355570902e-01
1.861861861861861811e-01,1.000000000000000000e+00,1.524540335567388209e-02,7.265701128185328428e-02,2.236929157158367987e-01
1.871871871871871873e-01,1.000000000000000000e+00,1.549737909667708684e-02,7.343410139076549104e-02,2.251826579496472580e-01
1.881881881881881935e-01,1.000000000000000000e+00,1.575357979532137145e-02,7.421615337030276760e-02,2.266321489530669919e-01
1.891891891891891997e-01,1.000000000000000000e+00,1.600436757580294550e-02,7.496726709690353097e-02,2.281058206835260560e-01
1.901901901901901781e-01,1.000000000000000000e+00,1.625393124831627650e-02,7.570841295384261871e-02,2.295515721241365714e-01
1.911911911911911843e-01,1.000000000000000000e+00,1.651385457937687082e-02,7.646841633515792658e-02,2.309651017153947217e-01
1.921921921921921905e-01,1.000000000000000000e+00,1.677770654319602622e-02,7.722401946096968395e-02,2.324456986163692118e-01
1.931931931931931967e-01,1.000000000000000000e+00,1.704450263615695654e-02,7.798564927716541972e-02,2.339541698725516317e-01
1.941941941941942029e-01,1.000000000000000000e+00,1.731025692914424721e-02,7.875758564690664432e-02,2.354540183723870805e-01
1.951951951951951814e-01,1.000000000000000000e+00,1.758964627396936153e-02,7.957754983993194087e-02,2.369821824076272510e-01
1.961961961961961876e-01,1.000000000000000000e+00,1.787235799367055053e-02,8.037915414438225048e-02,2.385331152059146920e-01
1.971971971971971938e-01,1.000000000000000000e+00,1.815423149204799594e-02,8.120183144315328005e-02,2.400365939497413892e-01
1.981981981981981999e-01,1.000000000000000000e+00,1.843653230863214268e-02,8.199089303982008692e-02,2.415479771619968574e-01
1.991991991991992061e-01,1.000000000000000000e+00,1.872051967992933649e-02,8.278807463868727290e-02,2.430683531467008329e-01
2.002002002002001846e-01,1.000000000000000000e+00,1.901364599125198243e-02,8.363306903694878169e-02,2.446446357035261809e-01
2.012012012012011908e-01,1.000000000000000000e+00,1.931304942582860729e-02,8.447177120866250499e-02,2.461669101006510041e-01
2.022022022022021970e-01,1.000000000000000000e+00,1.959972493096454396e-02,8.529568305842775977e-02,2.476929480917548498e-01
2.032032032032032032e-01,1.000000000000000000e+00,1.990053540520327416e-02,8.613745896548843928e-02,2.492717136344343998e-01
2.042042042042042094e-01,1.000000000000000000e+00,2.021278013980650629e-02,8.699670201642063783e-02,2.507997029276424761e-01
2.052052052052052156e-01,1.000000000000000000e+00,2.051224945291874394e-02,8.786214530598066008e-02,2.523388705638614504e-01
2.062062062062061940e-01,1.000000000000000000e+00,2.082289268525481032e-02,8.871664513438999589e-02,2.538646164114904402e-01
2.072072072072072002e-01,1.000000000000000000e+00,2.113293810016287494e-02,8.956784110665848286e-02,2.553666121593263783e-01
2.082082082082082064e-01,1.000000000000000000e+00,2.144826877411285318e-02,9.041587395565961471e-02,2.568838589315119436e-01
2.092092092092092126e-01,1.000000000000000000e+00,2.176837047812827525e-02,9.128396015099728145e-02,2.584667302661997068e-01
2.102102102102102188e-01,1.000000000000000000e+00,2.210104489784343526e-02,9.212585862244315749e-02,2.600125633181090135e-01
2.112112112112111972e-01,1.000000000000000000e+00,2.243229033866051686e-02,9.299449875378654196e-02,2.615975033005313866e-01
2.122122122122122034e-01,1.000000000000000000e+00,2.276628794404891507e-02,9.387660755821974901e-02,2.631811310673053406e-01
2.132132132132132096e-01,1.000000000000000000e+00,2.310970546220027233e-02,9.477346203695659332e-02,2.647885980139389472e-01
2.142142142142142158e-01,1.000000000000000000e+00,2.344606991439090321e-02,9.565481718848106718e-02,2.664049089312444107e-01
2.152152152152152220e-01,1.000000000000000000e+00,2.379248692422854597e-02,9.656487063582153141e-02,2.680424282476432385e-01
2.162162162162162282e-01,1.000000000000000000e+00,2.412925250926941170e-02,9.745790191275151282e-02,2.695690465974617256e-01
2.172172172172172067e-01,1.000000000000000000e+00,2.448006013554521881e-02,9.834500744642231396e-02,2.711358583608599604e-01
2.182182182182182129e-01,1.000000000000000000e+00,2.482566193956495942e-02,9.920098288606850334e-02,2.726753123833824954e-01
2.192192192192192191e-01,1.000000000000000000e+00,2.518291952096035624e-02,1.001531490017853604e-01,2.742472562657883861e-01
2.202202202202202252e-01,1.000000000000000000e+00,2.554803035823701579e-02,1.011080335994188756e-01,2.758447995101497852e-01
2.212212212212212314e-01,1.000000000000000000e+00,2.592350037352248240e-02,1.020389424935368855e-01,2.774628861184862405e-01
2.222222222222222099e-01,1.000000000000000000e+00,2.629720729341027130e-02,1.029619876116138893e-01,2.790952756161696469e-01
2.232232232232232161e-01,1.000000000000000000e+00,2.667627021186941977e-02,1.038930735191295751e-01,2.807863257510757049e-01
2.242242242242242223e-01,1.000000000000000000e+00,2.706137585674340401e-02,1.048581018680814353e-01,2.823720705325012403e-01
2.252252252252252285e-01,1.000000000000000000e+00,2.744753028993573291e-02,1.058334832523456503e-01,2.840366830307353707e-01
2.262262262262262347e-01,1.000000000000000000e+00,2.784211643614645931e-02,1.068259846325695928e-01,2.857595106449620781e-01
2.272272272272272131e-01,1.000000000000000000e+00,2.824417194369601911e-02,1.077966024786166377e-01,2.874331528484824205e-01
2.282282282282282193e-01,1.000000000000000000e+00,2.863940193636033485e-02,1.087544552752338772e-01,2.890936610476664836e-01
2.292292292292292255e-01,1.000000000000000000e+00,2.903413522528472054e-02,1.097204729159675790e-01,2.907752538700064671e-01
2.302302302302302317e-01,1.000000000000000000e+00,2.943053441890357627e-02,1.107076365497609988e-01,2.924244812246781788e-01
